;;;;;;
Вартість 1 машино-години використання машин (механізмів) в роботах за іншими, крім ліцензованого, видів діяльності на 2018 рік;;;;;;
;;;;;; грн 
№;Найменування транспорту;Державний номер;Місце розташування;Вартість 1 машино-години (простой);Вартість 1 машино-години (проїзд); Вартість 1 машино-години (на роботу спецмеханізімів) 
;;;;;;
;;;;;;
 1    ; 2    ; 3    ; 4    ;;;
102;ЗАЗ LANOS;АЕ 34-96 CР;Кедріна, 28; 117,61 ; 218,01    ;
103;Mistsubishi;АЕ 66-23 НТ;Кедріна, 28; 105,96 ; 287,62    ;
104;ЗАЗ LANOS;АЕ 02-44 ІА;КрРЕМ; 113,77 ; 203,01    ;
105;Mistsubishi  L 200;АЕ 20-44 ІА;Кедріна, 28; 187,20 ; 313,88    ;
106;RENAULT LODGY;АЕ 29-16ІЕ;Кедріна, 28; 129,16 ; 192,50    ;
107;RENAULT DOKKER;АЕ 29-06ІЕ ;КрРЕМ; 124,38 ; 237,92    ;
108;RENAULT LOGAN;АЕ 29-13ІЕ;Кедріна, 28; 128,76 ; 219,59    ;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Начальник економічного відділу____________________М.М.Рева;;;;;
