code;name;citycode;streettypecode;thedistrictcode;modify_time;citykoid;resid;xstreetcode
INTEGER;VARCHAR(50);INTEGER;INTEGER;INTEGER;DECIMAL(16.0);VARCHAR(10);VARCHAR(10);VARCHAR(50)
452;Ленська;3630;3;;;1210100000;;
453;Леніна;3630;3;;;1210100000;;
454;Леніна;3880;3;;;1221486601;;
455;Леніна;4404;3;;;1223881204;;
456;Леніна;3638;3;;;1211000000;;
457;Леніна;3936;3;;;1221884001;;
458;Леніна;3684;3;;;1220387701;;
459;Леніна;3973;3;;;1221887706;;
460;Леніна;4525;3;;;1224581003;;
461;Ленінградська;3630;3;;;1210100000;;
462;Лермонтова;3636;3;;;1210700000;;
463;Лермонтова;3638;3;;;1211000000;;
464;Лесі Українки;3657;3;;;1220310100;;
465;Лесі Українки;3636;3;;;1210700000;;
466;Ливарна;3630;3;;;1210100000;;
467;Липова;4277;3;;;1223255600;;
468;Листяний;3630;6;;;1210100000;;
469;Ломоносова;3636;3;;;1210700000;;
470;Ломоносова;26966;6;;;7110100000;;
471;Лугова;3974;3;;;1221888201;;
472;Луговий;3636;6;;;1210700000;;
473;Луч;3881;3;;;1221486801;;
474;Льва Ландау;23058;3;;;6310100000;;
475;Львівська;3636;3;;;1210700000;;
476;Лєскова;29758;3;;;8000000000;;
477;Лікарняна;3891;3;;;1221855500;;
478;Лікарняна;3905;3;;;1221881403;;
479;Лікарняна;4840;3;;;1225283304;;
480;Лінійна;3652;3;;;1212400000;;
481;Лісна;3902;3;;;1221881303;;
482;Лісна;4280;3;;;1223256200;;
483;Лісна;3941;3;;;1221884301;;
484;Лісова;3636;3;;;1210700000;;
485;Лісова;4287;3;;;1223281501;;
486;Лісова;4277;3;;;1223255600;;
487;М. Грушевського;3636;3;;;1210700000;;
488;М. Пошедіна;3636;3;;;1210700000;;
489;М.Грушевського;3630;3;;;1210100000;;
490;Магнітогорська;3630;3;;;1210100000;;
491;Магнітогорська;29758;3;;;8000000000;;
492;Майкопська;3630;3;;;1210100000;;
493;Макаренка;3630;3;;;1210100000;;
494;Макарова;3630;3;;;1210100000;;
495;Малий;3636;6;;;1210700000;;
496;Малиновського;3652;3;;;1212400000;;
497;Малиновського;4574;3;;;1224586002;;
498;Мамона;4509;3;;;1224510100;;
499;Мандриківська;3630;3;;;1210100000;;
500;Мануйлівський;3630;9;;;1210100000;;
501;Мар'янівський;3636;6;;;1210700000;;
502;Марганцевська;3630;3;;;1210100000;;
503;Марка Вовчка;3939;3;;;1221884005;;
504;Мартовича;3638;3;;;1211000000;;
505;Маршала Малиновського;3630;3;;;1210100000;;
506;Маршала Судця;3630;3;;;1210100000;;
507;Матросова;3636;3;;;1210700000;;
508;Матроська;3630;3;;;1210100000;;
509;Матроський;3630;6;;;1210100000;;
510;Машинобудівна;3630;3;;;1210100000;;
511;Маяковського;3636;3;;;1210700000;;
512;Медична;3657;3;;;1220310100;;
513;Межевий;3636;6;;;1210700000;;
514;Межигірська;29758;3;;;8000000000;;
515;Мелешкіна;3638;3;;;1211000000;;
516;Меліоративна;3901;3;;;1221881301;;
517;Меліоративна;4825;3;;;1225255100;;
518;Мендєлєєва;3891;3;;;1221855500;;
519;Металург;3632;3;;;1210200000;;
520;Металургів;3630;3;;;1210100000;;
521;Металургів;3638;9;;;1211000000;;
545;Молодіжна;3891;3;;;1221855500;;
522;Метробудівська;3630;3;;;1210100000;;
523;Мечникова;3630;3;;;1210100000;;
524;Мирна;3630;3;;;1210100000;;
525;Мирний;3636;6;;;1210700000;;
526;Миронова;3630;3;;;1210100000;;
527;Мирослава Андрущука;3638;3;;;1211000000;;
528;Миру;3630;9;;;1210100000;;
529;Миру;3636;7;;;1210700000;;
530;Миру;3899;3;;;1221881205;;
531;Миру;3638;3;;;1211000000;;
532;Миру;3901;3;;;1221881301;;
533;Миру;3638;9;;;1211000000;;
534;Миру;16463;9;;;5110800000;;
535;Михайла Дідевича;3630;6;;;1210100000;;
536;Михайла Максимовича;3630;3;;;1210100000;;
537;Модзалевського Вадима;29758;3;;;8000000000;;
538;Молдавська;3974;3;;;1221888201;;
539;Молодіжна;3948;3;;;1221884701;;
540;Молодіжна;4840;3;;;1225283304;;
541;Молодіжна;3902;3;;;1221881303;;
542;Молодіжна;3901;3;;;1221881301;;
543;Молодіжна;3969;3;;;1221887701;;
544;Молодіжна;3630;3;;;1210100000;;
546;Молодіжна;3936;3;;;1221884001;;
547;Молодіжна;4509;3;;;1224510100;;
548;Молодіжна;4277;3;;;1223255600;;
549;Молодіжна;3974;3;;;1221888201;;
550;Молодіжна;3632;3;;;1210200000;;
551;Молодіжна;3913;3;;;1221882201;;
552;Молодіжний;3636;6;;;1210700000;;
553;Монтажна;3630;3;;;1210100000;;
554;Московська;3630;3;;;1210100000;;
555;Московський;3636;6;;;1210700000;;
556;Мостова;3636;3;;;1210700000;;
557;Мостова;4607;3;;;1224856200;;
558;Моцарта;3630;3;;;1210100000;;
559;Музейний;3652;6;;;1212400000;;
560;Музична;3657;3;;;1220310100;;
561;Мурманська;3630;3;;;1210100000;;
562;Міжпланетна;3638;3;;;1211000000;;
563;Мікіладзе;3973;3;;;1221887706;;
564;Мільмана;3630;3;;;1210100000;;
565;Мініна;3636;6;;;1210700000;;
566;Мініна;3630;3;;;1210100000;;
567;Мічуріна;3636;3;;;1210700000;;
568;Мічуріна;3852;3;;;1221455800;;
569;Мічуріна;3657;3;;;1220310100;;
570;Мічуріна;3852;3;;;1221455800;;
571;Набережна;3675;3;;;1220383306;;
572;Набережна;3636;3;;;1210700000;;
573;Набережна;4277;3;;;1223255600;;
574;Набережна;3936;3;;;1221884001;;
575;Набережна;3901;3;;;1221881301;;
576;Набережна;4840;3;;;1225283304;;
577;Набережна;3938;3;;;1221884004;;
578;Набережна;3783;3;;;1221055400;;
579;Набережна;3676;3;;;1220384401;;
580;Набережна;3969;3;;;1221887701;;
581;Набережна В.І. Леніна;3630;3;;;1210100000;;
582;Набережна Перемоги;3630;3;;;1210100000;;
583;Набережна Січеславська;3630;3;;;1210100000;;
584;Набережний;4553;6;;;1224583701;;
585;Нагорний;3630;6;;;1210100000;;
586;Нагірна;3638;3;;;1211000000;;
587;Надбалківська;3630;3;;;1210100000;;
588;Надії;3974;3;;;1221888201;;
589;Надії Алексєєнко;3630;3;;;1210100000;;
590;Наримська;3630;3;;;1210100000;;
591;Науки;29758;9;;;8000000000;;
592;Недєліна;3638;3;;;1211000000;;
593;Некрасова;3636;3;;;1210700000;;
594;Некрасова;3850;3;;;1221455400;;
595;Немировича-Данченка;3636;3;;;1210700000;;
596;Несторівський;29758;6;;;8000000000;;
597;Нижня набережна;3974;3;;;1221888201;;
598;Нова;3652;3;;;1212400000;;
599;Нова;3783;3;;;1221055400;;
600;Нова;4277;3;;;1223255600;;
601;Нова;4840;3;;;1225283304;;
602;Нова;3936;3;;;1221884001;;
603;Нова;3636;3;;;1210700000;;
604;Новикова-Прибоя;3630;3;;;1210100000;;
605;Новобудов;3638;3;;;1211000000;;
606;Новобудівельна;3630;3;;;1210100000;;
607;Новокримська;3630;3;;;1210100000;;
608;Новокримська;3630;3;;;1210100000;;
609;Новокримський;3630;6;;;1210100000;;
610;Новомиргородський;3630;6;;;1210100000;;
611;Новоорловська;3630;3;;;1210100000;;
612;Новорічна;3638;3;;;1211000000;;
613;Новоселівська;3652;3;;;1212400000;;
614;Новофрунзенська;3630;3;;;1210100000;;
615;Нікопольська;3630;3;;;1210100000;;
616;Нікопольське шосе;3891;3;;;1221855500;;
617;О. Довженка;3636;6;;;1210700000;;
618;О. Станкова;3638;3;;;1211000000;;
619;О. Стовби;3636;6;;;1210700000;;
620;Обсерваторна;3630;3;;;1210100000;;
621;Одоєвського;3630;3;;;1210100000;;
622;Одоєвського 2-ой;3630;10;;;1210100000;;
623;Оздоровча;3630;3;;;1210100000;;
624;Озерна;3652;3;;;1212400000;;
625;Озерна;3638;3;;;1211000000;;
626;Озерна;3941;3;;;1221884301;;
627;Окружна;3638;3;;;1211000000;;
628;Октябрська;3852;3;;;1221455800;;
629;Октябрська;3936;3;;;1221884001;;
630;Октябрьська;3905;3;;;1221881403;;
631;Октябрьська;3936;3;;;1221884001;;
632;Олега Кошового;3636;6;;;1210700000;;
633;Олега Купріянця;3638;3;;;1211000000;;
634;Олега Ричкова;3638;3;;;1211000000;;
635;Олейникова;3638;3;;;1211000000;;
636;Олександра Гальченка;3630;9;;;1210100000;;
637;Олександра Довженка;3676;3;;;1220384401;;
638;Олександра Островського;3783;3;;;1221055400;;
639;Олександра Поля;3630;9;;;1210100000;;
640;Олександра Станкова;3638;3;;;1211000000;;
641;Олександри Риндовської;3630;3;;;1210100000;;
642;Олександрійська;4509;3;;;1224510100;;
643;Олени Теліги;29758;3;;;8000000000;;
644;Олеся Гончара;3630;3;;;1210100000;;
645;Олімпійська;3636;3;;;1210700000;;
646;Орджонікідзе;3638;3;;;1211000000;;
647;Оренбурзька;3630;3;;;1210100000;;
648;Орська;3630;3;;;1210100000;;
649;Осипа Бодянського;3630;3;;;1210100000;;
650;Осипенка;3636;6;;;1210700000;;
651;Островського;3783;3;;;1221055400;;
652;Островського;3657;3;;;1220310100;;
653;Осіння;4276;3;;;1223255300;;
654;Осіння;3636;3;;;1210700000;;
655;Осіння;3630;3;;;1210100000;;
656;Павла Тичини;3630;3;;;1210100000;;
657;Павла Чубинського;3630;3;;;1210100000;;
658;Павлова;3630;3;;;1210100000;;
659;Панельна;3630;3;;;1210100000;;
660;Панфілова;3636;6;;;1210700000;;
661;Панікахи;3630;3;;;1210100000;;
662;Паркова;3630;3;;;1210100000;;
663;Паркова;3660;3;;;1220310300;;
664;Паркова;3652;3;;;1212400000;;
665;Паркова;3636;3;;;1210700000;;
666;Партизанська;3636;3;;;1210700000;;
667;Парусний;3630;6;;;1210100000;;
668;Пастера;3630;3;;;1210100000;;
669;Патріотична;3630;3;;;1210100000;;
670;Первомайська;4332;3;;;1223581801;;
671;Передова;3630;3;;;1210100000;;
672;Перемоги;3630;3;;;1210100000;;
673;Перемоги;3636;6;;;1210700000;;
674;Перемоги;3638;9;;;1211000000;;
675;Перемоги;3636;3;;;1210700000;;
676;Переможців;3630;3;;;1210100000;;
677;Переможців;3638;3;;;1211000000;;
678;Перша горяна;3630;3;;;1210100000;;
679;Першотравнева;3636;3;;;1210700000;;
680;Першотравнева;4553;3;;;1224583701;;
681;Петра Григоренка;29758;9;;;8000000000;;
682;Петра Калнишевського;3630;3;;;1210100000;;
683;Петровського;3949;3;;;1221884703;;
684;Петровського;4509;3;;;1224510100;;
685;Петровського;3633;3;;;1210400000;;
686;Петровського;3649;3;;;1212100000;;
687;Петровського (Івана Мазепи);3630;9;;;1210100000;;
688;Печорська;3630;3;;;1210100000;;
689;Пирогова;3630;3;;;1210100000;;
690;Пирогова;3636;6;;;1210700000;;
691;Писаржевського;3630;3;;;1210100000;;
692;Плеханова;3630;3;;;1210100000;;
693;Погрузна;3648;3;;;1211900000;;
694;Подільська;3630;3;;;1210100000;;
695;Пожарського;3636;6;;;1210700000;;
696;Пожарського;3636;3;;;1210700000;;
697;Пожарського;3630;6;;;1210100000;;
698;Пожежна;3636;3;;;1210700000;;
699;Поздовжня;23058;3;;;6310100000;;
700;Покровська;3657;3;;;1220310100;;
701;Покровська;3638;3;;;1211000000;;
702;Полкова;3630;3;;;1210100000;;
703;Полтавська;3652;3;;;1212400000;;
704;Польова;4840;3;;;1225283304;;
705;Польова;3636;3;;;1210700000;;
706;Польова;3955;3;;;1221884715;;
707;Полімер-1;3881;3;;;1221486801;;
708;Помаранчева;3630;3;;;1210100000;;
709;Поповича;3638;3;;;1211000000;;
710;Постишева;3638;3;;;1211000000;;
711;Потапова;3636;3;;;1210700000;;
712;Поштова;3636;3;;;1210700000;;
713;Поштова;3652;3;;;1212400000;;
714;Поштовий;3638;9;;;1211000000;;
715;Правди;3630;3;;;1210100000;;
716;Пресова;3630;3;;;1210100000;;
717;Пржевальського;3630;3;;;1210100000;;
718;Привокзальна;3632;3;;;1210200000;;
719;Привокзальний;3636;6;;;1210700000;;
720;Привільна;3630;3;;;1210100000;;
721;Призаводська;3630;3;;;1210100000;;
722;Прогресивна;3630;3;;;1210100000;;
723;Промислова;3652;3;;;1212400000;;
724;Промислова;3636;3;;;1210700000;;
725;Промислова;11098;3;;;3222410600;;
726;Промислова;3630;3;;;1210100000;;
727;Промислова;3632;3;;;1210200000;;
728;Пушкіна;3902;3;;;1221881303;;
729;Пушкіна;3636;6;;;1210700000;;
730;Південна;3891;3;;;1221855500;;
731;Південна;3928;3;;;1221883501;;
732;Південна;3636;3;;;1210700000;;
733;Півнична;3630;3;;;1210100000;;
734;Північна;3648;3;;;1211900000;;
735;Північний;3630;6;;;1210100000;;
736;Північний;3636;6;;;1210700000;;
737;Під'їздна;3636;3;;;1210700000;;
738;Підгірна;3636;3;;;1210700000;;
739;Підгірна;3652;3;;;1212400000;;
740;Підмогильного;3630;3;;;1210100000;;
741;Підстепна;3928;3;;;1221883501;;
742;Підстепна;3917;3;;;1221882401;;
743;Пірогова;3636;6;;;1210700000;;
744;Піхотинська;3638;3;;;1211000000;;
745;Радгоспна;3902;3;;;1221881303;;
746;Радгоспна;3852;3;;;1221455800;;
747;Радгоспна;3852;3;;;1221455800;;
748;Радянська;3638;7;;;1211000000;;
749;Радянська;3914;3;;;1221882203;;
750;Радянська;3648;3;;;1211900000;;
751;Радянська;3652;3;;;1212400000;;
752;Радянської Конституції;3909;3;;;1221882001;;
753;Радіщева;3636;6;;;1210700000;;
754;Райдужний;3636;6;;;1210700000;;
755;Ракетна;3638;3;;;1211000000;;
756;Рассвет;3881;3;;;1221486801;;
757;Рассвет-7;3881;3;;;1221486801;;
758;Революційна;3638;3;;;1211000000;;
759;Ржевська;3630;3;;;1210100000;;
760;Рибалко;3660;3;;;1220310300;;
761;Рибачья;3901;3;;;1221881301;;
762;Рибгоспна;3898;3;;;1221881204;;
763;Рибінська;3630;3;;;1210100000;;
764;Рибінський;3630;6;;;1210100000;;
765;Робоча;3630;3;;;1210100000;;
766;Робітнича;3891;3;;;1221855500;;
767;Робітничий;3636;6;;;1210700000;;
768;Рожевий;3630;6;;;1210100000;;
769;Рози Люксембург;3662;3;;;1220381101;;
770;Рората;3945;3;;;1221884501;;
771;Росинка-4;3881;3;;;1221486801;;
772;Россі;3630;3;;;1210100000;;
