~-4~900~Жовтоводські РЕМ~Iншi~м. Жовті Води вул. Будівельників     1А~ПС "С-35"(2Т,3Т)~ЖРЕМ виробнича дільниця~~0~0~0~0158923~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~232315~350~Абонент~0,4~400/5~80~~~Абонент~631,77~~~~~~~~01.01.2017~01.03.2010~16~01.03.2026~0~~~~~~~~~Косенков Едуард Вікторович ~31~PC01B631
~39~20000030~Р ТОВ "АТОМІНВЕСТБУД"~Промисловiсть~м. Жовті Води вул. Гагаріна     40-35~ПС Електронна - ПС-5 1СШ-6кВ Л-ОЧ-31~завод Л-5-27-2~~0~0~0~01769524~EPQS 122.23.17 LL~6285~электронный~Трехфазный~6~5~0,5S~1~106940~125~Абонент~6,0~600/5~120~01.04.2018~~РЕС~9,03~66,43~НТМИ-6-66 6000/100~60~01.04.2018~~РЕС~~03.04.2018~01.09.2017~6~01.09.2023~0~~~~~~~~~Косенков Едуард Вікторович ~31~PC01B631
~40~20000031~Р ТОВ "Побут"~Iншi~м. Жовті Води вул. Гагаріна     34~ТП-7~Будинок побуту~~0~0~0~0223056~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~111678~32~Абонент~0,4~Т-0,66 200/5~40~~~Абонент~57,76~3,46~~~~~~~01.10.2015~01.09.2009~16~01.09.2025~0~~~~~~~~~Приходько Віктор Володимирович ~31~PC01A831
~41~20000031~Р ТОВ "Побут"~Iншi~м. Жовті Води вул. Горького       4~ТП-91~Пральня~~0~0~0~0305674~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~111683~25~Абонент~0,4~~~~~~45,13~~~~~~~~01.10.2015~01.03.2010~16~01.03.2026~0~~~~~~~~~Якунін Олександр Вікторович ~31~PC01G831
~42~20000031~Р ТОВ "Побут"~Iншi~м. Жовті Води вул. Гагаріна     34~ТП-7~Будинок побуту~~0~0~0~0408676~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~111673~32~Абонент~0,4~Т-0,66 200/5~40~~62998, 64542, 61173~Абонент~57,76~3,46~~~~~~~01.10.2015~01.12.2010~16~01.12.2026~0~~~~~~~~~Приходько Віктор Володимирович ~31~PC01A831
~43~20000031~Р ТОВ "Побут"~Iншi~м. Жовті Води вул. Кропоткіна     10~ТП-122~Автостоянка~~0~0~0~1139526~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~111689~7~Абонент~0,2~~~~~~0,47~~~~~~~~01.10.2015~01.04.2009~16~01.04.2025~0~~~~~~~~~Буданов Сергій Вікторович ~31~PC01A931
~44~20000033~ФОП Поліщук Д.В.~Iншi~м. Жовті Води б. Свободи      5~ТП-116~торгівельний павільйон №11~~0~0~0~3593461~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~107788~5~Абонент~0,2~~~~~~0,36~~~~~~~~09.07.2015~01.09.2011~16~01.09.2027~0~~~~~~~~~Буданов Сергій Вікторович ~31~PC01A931
~45~20000033~ФОП Поліщук Д.В.~Iншi~м. Жовті Води б. Свободи      5~ТП-116~торгівельний павільйон №10~~0~0~0~3612386~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~107783~5~Абонент~0,2~~~~~~0,36~~~~~~~~09.07.2015~01.09.2011~16~01.09.2027~0~~~~~~~~~Буданов Сергій Вікторович ~31~PC01A931
~46~20000034~Р ФОП Лежньов М. О.~Iншi~м. Жовті Води вул. Львівська    193~МТП-26~цех по переробці риби~~0~0~0~363189~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~107778~20~Абонент~0,4~~~~~~36,10~~~~~~~~01.10.2015~01.01.2010~16~01.01.2026~0~~~~~~~~~Великий Євген Олександрович ~31~PC01B931
~47~20000035~ФОП Понурко Д.О.~Iншi~м. Жовті Води вул. Ярослава Мудрого~ТП-122~Торгівельний павільйон~Не проверен~0~0~0~0238388~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~113330~15~Абонент~0,4~~~~~~27,44~~~~~~~~01.10.2015~01.09.2014~16~01.09.2030~0~~~~~~~~~Буданов Сергій Вікторович ~31~PC01A931
~48~20000036~Р ТОВ "НТТ ТЕХНОТРОН"~Промисловiсть~м. Жовті Води вул. Заводська    1/1~ТП-77~завод~~0~0~0~0036896~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~109085~40~Абонент~0,4~~~~~~72,20~~~~~~~~01.10.2015~01.11.2009~16~01.11.2025~0~~~~~~~~~Чурбанов Олександр Юрійович ~31~PC01A631
~49~20000037~Р ФОП Аврахова Т.С.~Iншi~м. Жовті Води вул. Кропоткіна~ТП-109~торгівельно-оздоровчий комплекс~~0~0~0~14197~Дельта 8010-08~6320~электронный~Трехфазный~6~10~1,0~1~107813~50~Абонент~0,4~~~~~~90,25~~~~~~~~09.07.2015~01.12.2007~16~01.12.2023~0~~~~~~~~~Руденко Володимир Миколайович ~31~PC01B731
~50~20000038~Р ФОП Волобоєв А.М.~Iншi~м. Жовті Води вул. Заводська    1/5~ТП-77~нежитлова будівля~~0~0~0~0634216~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~107887~4~Абонент~0,4~~~~~~7,76~~~~~~~Установлен~09.07.2015~01.06.2012~16~01.06.2028~0~~~~~~~~~Чурбанов Олександр Юрійович ~31~PC01A631
~51~20000039~Р ТОВ "Жовта річка"~Iншi~м. Жовті Води вул. Кропоткіна~ТП-116~Супермаркет "Велика Кишеня"~~0~0~0~605140~LZQM 321.02.534~6311~электронный~Трехфазный~6~5~0,5S~1~114038~0~Абонент~0,4~Т-0,66 400/5~80~~34106, 40891, 40933~Абонент~0,00~~~~~~~~01.10.2015~01.08.2014~6~01.08.2020~0~~~~~~~~~Михайлюк Людмила Миколаївна ~31~PC01F631
